step,train_loss,tok_s,mfu
0,8.829660415649414,297490.9840378343,0.9633201383042855
1,8.829133033752441,435514.99374717346,1.4102624500269256
2,8.825637817382812,2040612.8648511663,6.607808547716957
3,8.818768501281738,2043731.388576472,6.617906792260678
4,8.807902336120605,2040926.260198706,6.608823368554343
5,8.793883323669434,2046261.409180894,6.626099376000474
6,8.776641845703125,2043939.2406402102,6.618579848217096
7,8.760970115661621,2040899.4765359266,6.60873663906297
8,8.747051239013672,2046366.17744697,6.626438631258555
9,8.730663299560547,2046500.751336492,6.626874401566976
10,8.71472454071045,2039744.266549016,6.604995896976416
11,8.697978019714355,1821704.436913251,5.898950436405901
12,8.682899475097656,2042450.3223980838,6.6137585090710775
13,8.660833358764648,2042455.6921913624,6.6137758972619185
14,8.644383430480957,2041320.4198290072,6.610099716174771
15,8.62785530090332,2042745.4990158244,6.6147143349464255
16,8.604273796081543,2043562.2499101558,6.6173590960541695
17,8.588135719299316,2040871.3618943116,6.60864559966379
18,8.567557334899902,2043239.7731129574,6.616314868129475
19,8.548566818237305,2041424.5327053333,6.6104368491831735
20,8.537135124206543,2044916.9302665957,6.621745752922258
21,8.521858215332031,2039455.262023831,6.604060057256525
22,8.503334045410156,2048266.436657805,6.632591953759122
23,8.48686408996582,2043668.762383505,6.617703999315321
24,8.463662147521973,2039089.0742113,6.602874286550385
25,8.446537971496582,2045226.7125235524,6.622748874033914
26,8.430659294128418,2042396.5454606647,6.613584371333897
27,8.412232398986816,2046871.024699301,6.628073401893743
28,8.403016090393066,2042022.2421185495,6.612372321333591
29,8.382505416870117,2044224.2469468552,6.61950274110954
30,8.369268417358398,2037362.5510996967,6.597283547429217
31,8.346602439880371,2040745.2532597547,6.608237241112434
32,8.327291488647461,2044660.6169511736,6.620915772211211
33,8.307900428771973,2042381.9666706948,6.613537163039449
34,8.286648750305176,2041241.3810151997,6.609843776717329
35,8.266721725463867,2040328.6164544572,6.6068881090498275
36,8.236221313476562,1997550.5575787525,6.468366379640737
37,8.215714454650879,1983217.7412233844,6.421954584411383
38,8.19158935546875,2029690.9527454786,6.57244176873968
39,8.165414810180664,2026502.4043546177,6.562116773893842
40,8.145604133605957,2023853.9440849237,6.553540664868063
41,8.122476577758789,2030341.760810158,6.574549182236275
42,8.092430114746094,2040105.105036978,6.606164345772446
43,8.06574821472168,2044706.0095687106,6.621062760271185
44,8.055912971496582,1990897.3070269045,6.446822162889065
45,8.024543762207031,2043322.67974014,6.616583332143006
46,7.999958038330078,1891782.8413402063,6.1258747529967295
47,7.970780372619629,2044304.244300103,6.619761784460532
48,7.924872398376465,2039792.4587974234,6.605151950658349
49,7.8949456214904785,2038166.6054651444,6.599887195284403
50,7.858881950378418,2040274.99187603,6.606714464673767
51,7.820826530456543,2039655.4121715166,6.604708173261027
52,7.780215740203857,2038451.6000760458,6.600810050304287
53,7.744946479797363,2038547.512986913,6.601120630602579
54,7.708765506744385,2045025.8882950637,6.62209857525532
55,7.671722412109375,2045014.632121066,6.622062126086526
56,7.627338886260986,2042370.838039608,6.613501126873605
57,7.591217517852783,2036933.1996986887,6.595893243610976
58,7.5596923828125,2042889.9263104224,6.615182012048833
59,7.510628700256348,2039652.5258409923,6.60469882689267
60,7.475688934326172,2041332.520579714,6.610138900208808
61,7.434434413909912,2040940.5163060073,6.608869531954223
62,7.392614364624023,2039125.2192557922,6.602991329590771
63,7.346513271331787,2040482.6884144573,6.60738701701605
64,7.301082611083984,2044315.2863993982,6.619797540423539
65,7.248854160308838,2001565.292907248,6.481366690908691
66,7.204783916473389,1982411.07299285,6.41934247247153
67,7.143836498260498,1986657.549008369,6.43309319461797
68,7.091457366943359,1993820.7682429976,6.45628876595982
69,7.037757396697998,1990088.205827373,6.44420217263304
70,6.986184120178223,1991119.430667401,6.447541432337771
71,6.92485237121582,2006539.6443559115,6.4974743821753655
72,6.87049674987793,1995269.609065762,6.4609803284496214
73,6.831849575042725,2043104.3448932131,6.615876331372483
74,6.760359764099121,2043053.2622767037,6.615710918247913
75,6.697664737701416,1967097.3637002506,6.369754399739139
76,6.623659610748291,2040521.4827874703,6.607512638976989
77,6.563452243804932,2039545.7780133428,6.604353161519222
78,6.510231018066406,2039306.2770244735,6.603577621626918
79,6.45197057723999,2040115.1482051786,6.606196867047707
80,6.437598705291748,2044092.3940070507,6.619075781641781
81,6.38055419921875,2043387.5554583746,6.6167934093864025
82,6.313445091247559,2038816.4796875094,6.601991584860421
83,6.273046970367432,2037715.8382054104,6.598427543724224
84,6.190783500671387,2041795.587374086,6.611638379495018
85,6.150495529174805,2044898.0294772168,6.62168454934966
86,6.082794666290283,2042923.6081546333,6.615291078879642
87,6.0318403244018555,2040879.6658168577,6.60867248900244
88,6.009970664978027,2038476.2489185897,6.600889866929604
89,5.960536479949951,2041135.0339958135,6.609499409220765
90,5.90173864364624,2042602.2380761772,6.61425043467516
91,5.841363430023193,2040009.4225456128,6.605854511606839
92,5.809059143066406,2042308.8928647724,6.613300539166442
93,5.7534871101379395,2043356.2046348967,6.616691890748094
94,5.731598377227783,2038085.332849319,6.599624022443147
95,5.675530910491943,1978578.1856087993,6.4069310119465985
96,5.570460319519043,2040014.2318081625,6.605870084715648
97,5.53612756729126,2045575.4148189717,6.62387802402996
98,5.4974541664123535,2043000.8636741776,6.615541243764514
99,5.444302558898926,2044909.2225547193,6.621720794202601
100,5.417906761169434,1818088.571743845,5.887241726152555
101,5.4033894538879395,2044528.076859548,6.6204865876434535
102,5.352597236633301,2044539.77715518,6.620524474944285
103,5.301593780517578,2037014.7138458837,6.596157198566798
104,5.2837677001953125,2045177.1272935166,6.622588309669886
105,5.23560094833374,2045210.7948452465,6.622697330219513
106,5.19854211807251,2045355.629815588,6.623166327436729
107,5.18229866027832,2043586.1741719283,6.617436566378973
108,5.160388946533203,2042392.6260041646,6.613571679549674
109,5.094441890716553,2040496.215650383,6.6074308202218015
110,5.0597052574157715,2041548.0124795192,6.610836695092896
111,5.046115398406982,2040179.5881849478,6.606405533305022
112,5.076488971710205,2041080.7184253298,6.609323527309454
113,5.005864143371582,2043034.1013561648,6.615648872331856
114,4.995166301727295,2041764.5438001144,6.611537855776397
115,4.955090522766113,2044462.4819409095,6.620274181521974
116,4.878846645355225,2039464.2059612754,6.604089019058793
117,4.829777717590332,2041328.5843427891,6.610126154087069
118,4.761997222900391,2039764.7694525772,6.60506228843348
119,4.771945476531982,2040947.3221654203,6.608891570341209
120,4.739130973815918,2036714.118554406,6.595183826218403
121,4.707682132720947,2039898.7542549805,6.605496151190025
122,4.704706192016602,2041680.7697241988,6.611266582834602
123,4.682420253753662,2038834.8985521116,6.602051227888777
124,4.694431304931641,2040292.1379366913,6.606769986173287
125,4.685577392578125,2039744.431213458,6.604996430184416
126,4.648170471191406,2040275.5228477914,6.606716184039456
127,4.629141807556152,2041531.0271502375,6.610781694065534
128,4.5115065574646,2042707.9779856058,6.614592836259209
129,4.462686061859131,2041752.2967917742,6.611498198138345
130,4.46633768081665,2037249.7256544884,6.59691820182443
131,4.437519073486328,2037135.599745744,6.5965486451249165
132,4.402568340301514,2038527.1574022784,6.601054716186152
133,4.378086566925049,2040114.51709331,6.606194823413429
134,4.350049018859863,2039004.2755374745,6.602599695807873
135,4.327963829040527,2040500.0950726725,6.6074433823692855
136,4.351924896240234,2034725.5202520825,6.58874444857534
137,4.322567939758301,2038958.7293339525,6.602452210413593
138,4.297203063964844,2040730.2661170927,6.608188710511116
139,4.2895588874816895,2041395.445803186,6.6103426614595024
140,4.309375762939453,2036812.2507771628,6.595501592979314
141,4.272296905517578,2043179.5816825235,6.616119959308025
142,4.257074356079102,2043497.9266130081,6.617150807632573
143,4.237301826477051,2042478.2269328586,6.613848868113001
144,4.2198052406311035,2040616.821163044,6.607821358844385
145,4.194644927978516,2038765.2188207328,6.601825594534925
146,4.178112506866455,2044212.49546556,6.619464688061905
147,4.169314384460449,2043628.4990248575,6.617573620559991
148,4.160104274749756,2039583.8077965204,6.604476307624334
